mm-dd,es,ca,en,author
01-01,"Como es arriba, es abajo.","Tal com és a dalt, és a baix.","As above, so below.",Emerald Tablet
01-02,Lo de arriba es semejante a lo de abajo.,El que és a dalt s'assembla al que és a baix.,That which is above is like to that which is below.,Emerald Tablet
01-03,Lo de abajo es semejante a lo de arriba.,El que és a baix s'assembla al que és a dalt.,That which is below is like that which is above.,Emerald Tablet
01-04,Todo es Uno.,Tot és U.,All is One.,Corpus Hermeticum
01-05,La Mente es Dios.,La Ment és Déu.,Mind is God.,Corpus Hermeticum (Poimandres)
01-06,"Quien se conoce a sí mismo, conoce al Todo.",Qui es coneix a si mateix coneix el Tot.,He who knows himself knows the All.,Corpus Hermeticum
01-07,El Todo es Mente.,El Tot és Ment.,The All is Mind.,The Kybalion
01-08,Nada reposa.,Res reposa.,Nothing rests.,The Kybalion
01-09,Todo fluye y refluye.,Tot flueix i reflueix.,"Everything flows, out and in.",The Kybalion
01-10,Los extremos se tocan.,Els extrems es toquen.,Extremes meet.,The Kybalion
01-11,Toda causa tiene su efecto.,Tota causa té el seu efecte.,Every cause has its effect.,The Kybalion
01-12,El género está en todo.,El gènere és en tot.,Gender is in everything.,The Kybalion
01-13,"Como es adentro, es afuera.","Com és dins, és fora.","As within, so without.",Tradición hermética
01-14,"Como es arriba, es abajo.","Com és a dalt, és a baix.","As above, so below.",Tradición hermética
01-15,Lo similar atrae a lo similar.,El semblant atrau el semblant.,Like attracts like.,Tradición hermética
01-16,El silencio es el santuario del sabio.,El silenci és el santuari del savi.,Silence is the sanctuary of the wise.,Tradición hermética
01-17,Conócete a ti mismo.,Coneix-te a tu mateix.,Know thyself.,Máxima délfica (tradición hermética)
01-18,Con treinta y dos sendas misteriosas de Sabiduría…,Per trenta-dues sendes misterioses de Saviesa…,With thirty-two mysterious paths of Wisdom…,Sefer Yetzirah 1:1
01-19,"Creó Su universo con tres libros: número, letra y relato.","Creà el seu univers amb tres llibres: nombre, lletra i narració.","He created His universe with three books: number, letter, tale.",Sefer Yetzirah 1:1
01-20,El fin está contenido en el principio.,El final és contingut en el principi.,The end is embedded in the beginning.,Sefer Yetzirah 1:7
01-21,Hizo de la nada algo.,Va fer del no-res alguna cosa.,He made something from nothing.,Sefer Yetzirah
01-22,No hay lugar vacío de Él.,No hi ha cap lloc buit d'Ell.,There is no place empty of Him.,Tiqqunei haZohar 57
01-23,La Torá tiene setenta rostros.,La Torà té setanta rostres.,The Torah has seventy faces.,Tradición rabínica/kabbalística
01-24,"En el principio, el Infinito se contrajo.","Al començament, l'Infinit es va contreure.",In the beginning the Infinite contracted.,Etz Chaim (Luria)
01-25,Del no-ser a la existencia.,Del no-res a l'existència.,From nothingness to existence.,Yesh me-ayin (Cábala)
01-26,¿Quién es sabio? Quien aprende de toda persona.,Qui és savi? Qui aprèn de tothom.,Who is wise? One who learns from every person.,Pirkei Avot 4:1
01-27,"Como es el camino del hombre, así es su corazón.","Com és el camí de l'home, així és el seu cor.","As a man's way, so is his heart.",Zohar
01-28,Baja la luz y los recipientes se llenan.,Baixa la llum i els recipients s'omplen.,Light descends and the vessels are filled.,Zohar (metáfora)
01-29,Elevación por medio de las chispas.,Elevació mitjançant les espurnes.,Elevation through the sparks.,Cábala luriana
01-30,Subida y bajada de mundos.,Pujada i baixada de mons.,Ascent and descent of worlds.,Cábala
01-31,El Tarot encarna presentaciones simbólicas de ideas universales.,El Tarot encarna presentacions simbòliques d'idees universals.,The Tarot embodies symbolical presentations of universal ideas.,A. E. Waite
02-01,La adivinación no es su función principal.,La divinació no n'és la funció principal.,Divination is not its chief function.,A. E. Waite
02-02,El Tarot es un libro.,El Tarot és un llibre.,The Tarot is a book.,Oswald Wirth
02-03,El Tarot sintetiza la sabiduría de los siglos.,El Tarot sintetitza la saviesa dels segles.,The Tarot synthesizes the wisdom of the ages.,Oswald Wirth
02-04,Un prisionero… solo necesitaría una baraja de tarots.,Un presoner… només necessitaria una baralla de tarots.,A prisoner would need only a deck of tarots.,Éliphas Lévi
02-05,El Tarot es una verdadera máquina filosófica.,El Tarot és una veritable màquina filosòfica.,The Tarot is a true philosophical machine.,Éliphas Lévi
02-06,El Tarot es una representación pictórica de las fuerzas de la Naturaleza.,El Tarot és una representació pictòrica de les forces de la Natura.,The Tarot is a pictorial representation of the forces of Nature.,Aleister Crowley
